> Shore Bin # 0, Level 1
20	79.1593804837
18.2830548562	79.6211184863
17.671778439	79.3607995727
16.2697795071	80.0587472343
16.5267414359	78.9054703593
14.7264820325	79.7886625467
14.043183032	79.2637521935
12.3482108797	79.5799191272
13.8063630121	79.8771648737
10.664835584	79.5466544594
13.0000762951	78.2044708934
15.3466086824	78.8505378805
15.4232089723	78.4577706569
16.5700770581	78.7162584878
17.3983367666	78.4293888762
13.5982299535	78.0567635615
13.949797818	77.7161821927
16.9915312428	77.9291981384
14.7383840696	77.6533150225
16.0997940032	77.4595254444
13.915007248	77.5242236973
15.4381628138	76.9999237049
16.9900053407	76.5961699855
19.0283054856	78.4223697261
20	78.5487144274
> Shore Bin # 0, Level 1
20	80.429236286
19.6249332418	80.5055313954
19.570000763	80.1362630655
17.7376974136	80.1258869306
18.7466239414	79.7111467155
20	79.7499046311
> Shore Bin # 1, Level 1
28.8679331655	70
28.5560387579	70.1724269474
30.1823453117	70.0695811398
31.0310521096	70.3973449302
28.9723048753	70.8847180896
27.8547341115	70.4269474327
28.5539024949	70.9701686122
27.6575875486	71.1313038834
27.0911726558	70.4632639048
26.4859998474	70.3582818341
26.659952697	70.9680323491
25.1523613336	70.0653086137
25.9137865263	70.8740367742
24.6399633783	70.9921416037
23.4900434882	70
> Shore Bin # 1, Level 1
20	79.7499046311
21.7117570764	79.8023956664
20.0997940032	79.452964065
23.6566720073	79.1813534752
27.0048065919	79.9433890288
26.9999237049	79.9446097505
24.8300907912	80.3462272068
23.0746929122	80.1036087587
22.7948424506	80.5046158541
22.2601663233	79.9711604486
20	80.429236286
> Shore Bin # 1, Level 1
24	77.62371252
22.8567940795	78.2536049439
20.8349736782	78.1132219425
20.8798352026	77.4387731746
22.4832532235	77.6145571069
22.6764324407	77.2370489052
24.0064087892	77.62371252
24	77.62371252
> Shore Bin # 1, Level 1
21.2738231479	70
21.2350652323	70.0122072175
21.2133974212	70
> Shore Bin # 1, Level 1
23.3633936065	70
21.5625238422	70.3228809033
21.868314641	70
> Shore Bin # 1, Level 1
20	78.5487144274
21.5313954376	78.7473868925
20	79.1593804837
> Shore Bin # 2, Level 1
60	76.0447089342
56.0082398718	75.1831845579
56.963759823	74.6698710613
55.1259632258	74.2267490654
56.3912413214	74.0082398718
55.0350194553	74.1571679255
53.6925307088	73.7921721218
55.8461890593	73.6466010529
54.0737010758	73.3466086824
56.6948958572	73.245288777
56.37628748	73.7390707256
57.5988403143	73.6316472114
56.5935759518	73.8806744488
57.8750286107	73.7653162432
57.4975204089	74.1928740368
58.2549782559	73.9996948196
58.2574196994	73.9996948196
58.2186617838	74.5432211795
59.1549553674	74.4187075608
60	74.7660028992
> Shore Bin # 2, Level 1
53.9974059663	70.7370107576
57.6110475319	70.7125963226
55.186083772	71.8991378653
55.0811017014	72.5775539788
56.5188067445	73.1509880217
54.8097962921	73.2565804532
53.1963073167	73.1500724804
53.6110475319	72.8891432059
52.363775082	72.7148851759
53.6586556802	72.6416418708
51.4061188678	71.8326085298
51.9099717708	71.4554055085
53.5011825742	71.5432974746
53.9861142901	70.7409781033
53.9974059663	70.7370107576
> Shore Bin # 2, Level 1
60	70.0671396963
58.7673762112	70.427862974
58.6962691691	70.0033569848
58.711528191	70
> Shore Bin # 3, Level 1
80	72.0416571298
78.4475471122	72.3862058442
77.4636453803	72.2073701076
77.9848935683	71.8261997406
75.9661249714	71.885709926
78.5085831998	70.9042496376
76.1324483101	71.1612115663
74.8287174792	72.8308537423
75.018844892	72.1899748226
73.0086213474	71.3968108644
74.3260852979	70.5908293278
74.094758526	70
> Shore Bin # 3, Level 1
72.6875715267	70
72.811169604	70.8700694285
71.8110933089	71.4642557412
72.8786144808	72.6932173648
71.6325627527	72.9004348821
69.3962005035	72.9474326696
68.3387502861	71.5866330968
66.728923476	71.1065842679
66.7847714961	70
> Shore Bin # 3, Level 1
60	74.7660028992
61.3165484092	75.3070878157
68.4049744411	76.212558175
68.6066987106	76.955367361
64.7797360189	76.3294422827
61.1264209964	76.2879377432
60	76.0447089342
> Shore Bin # 3, Level 1
60.2298008698	70
60	70.0671396963
> Shore Bin # 4, Level 1
100	76.4747081712
98.8781567102	76.4850843061
99.8449683375	76.0425726711
98.8265812161	76.2595559625
95.7030594339	75.8261997406
96.1266498817	76.1170366979
93.2735179675	76.1045243
92.8364995804	75.8786907759
94.1152056153	75.9168383307
86.9831387808	75.1346608682
87.0075532158	74.6012054627
85.9174486915	74.8520637827
87.2367437247	73.8348973831
80.5062943465	73.557488365
80.8511482414	72.4283207446
83.6688792248	71.6409552148
83.628595407	70
> Shore Bin # 4, Level 1
100	79.8255893797
98.7750057221	80.0721751736
97.6632333867	79.8454261082
97.6797131304	80.1661707485
92.8615243763	79.5573357748
95.9832150759	78.9771877623
95.9899290455	78.9771877623
100	78.9091325246
> Shore Bin # 4, Level 1
82.8754100862	70
82.4237430381	70.1709010452
82.8473334859	70.9585717556
82.0138857099	70.5557335775
83.2635996033	71.7215228504
81.4523537041	71.7196917678
80	72.0416571298
> Shore Bin # 4, Level 1
93.7117570764	79.9992370489
97.3049515526	80.2204928664
98.1921110857	80.6517128252
95.670405127	81.2803845274
91.4622720684	80.2583352407
93.7114518959	80.0001525902
93.7117570764	79.9992370489
> Shore Bin # 5, Level 1
120	72.9520103761
119.847714961	72.957503624
118.406042573	73.2251468681
118.879987793	73.530327306
115.687190051	73.7055008774
113.514610513	73.2025635157
112.845044633	73.9871824216
112.307621881	73.6896314946
111.572442206	74.0521858549
110.022430762	74.0061036088
