> Shore Bin # 74, Level 1
14.4625009537	80.0132753491
14.4898146029	80.0054169528
14.5872434577	80.0274662394
14.5098802167	80.0370794232
14.4621957733	80.0250247959
14.4625009537	80.0132753491
> Shore Bin # 75, Level 1
20	80.4673075456
19.844586862	80.4537270161
19.6248569467	80.5054551003
19.5875486381	80.4707408255
19.6823071641	80.4316014343
19.4598306249	80.4637216754
19.4124513619	80.4132906081
19.4898146029	80.3794918746
19.7096971084	80.3904020752
19.740062562	80.3770504311
19.9274433509	80.3749904631
19.7174029145	80.3424887465
19.7249561303	80.3312733654
19.8622110323	80.3308155947
19.702449073	80.3199816892
19.779812314	80.2962539101
19.8472571908	80.2999923705
19.7525749599	80.2925154498
19.8123903258	80.2699320974
19.677347982	80.2475013352
19.8122377356	80.2040894179
19.5272755016	80.2291142138
19.2449835966	80.3345540551
19.0201419089	80.3453879606
18.9926756695	80.3333333333
19.1774624247	80.1824979019
19.4998092622	80.1562523842
19.5699244678	80.1361867704
19.3672846571	80.1383230335
19.4276340887	80.1349660487
19.3872739757	80.1033035782
19.259937438	80.0795757992
18.9077592126	80.1699855039
18.9376668956	80.1800564584
18.7099259937	80.202105745
18.7773708705	80.1774624247
18.7051194018	80.1538109407
18.4398413062	80.1895933471
18.4148928054	80.1779201953
18.3501182574	80.1929503319
18.3150225071	80.1754024567
18.1348134585	80.1812771801
18.025101091	80.1696040284
17.9698634318	80.1920347906
17.982604715	80.1667048142
17.859922179	80.1595330739
17.7376211185	80.1258106355
17.9148546578	80.1312275883
17.9900053407	80.0936903944
17.9624628061	80.1224536507
18.0299076829	80.1112382696
18.0199130236	80.1237506676
18.1050583658	80.0820935378
18.1847867552	80.0970473793
18.2401007095	80.0753795682
18.337300679	80.0799572747
18.1649500267	80.0653849088
18.1023117418	80.0800335698
18.1723506523	80.0333409628
18.2301060502	80.0470740826
18.2998397803	80.0203707942
18.519874876	80.0354009308
18.6998550393	80.0154116121
18.927519646	80.0433356222
18.902418555	80.0166323339
18.7425040055	80.012512398
18.7538719768	80
> Shore Bin # 75, Level 1
18.0975051499	80.2825207904
18.3299763485	80.2612344549
18.4148165103	80.2329289693
18.6173800259	80.2516975662
18.642481117	80.2816815442
18.7674525063	80.2999923705
18.6298924239	80.2946517128
18.6574349584	80.3134203098
18.5575646601	80.3167009995
18.6075379568	80.3308918898
18.2901503014	80.3629358358
18.0973525597	80.2908369574
18.0975051499	80.2825207904
> Shore Bin # 75, Level 1
20	80.5362020294
19.9699397269	80.5362020294
19.9173723964	80.5140764477
19.8323033494	80.5124742504
19.9248493172	80.4695201038
20	80.4817273213
> Shore Bin # 75, Level 1
16.591668574	80
16.5723659113	80.0358587015
16.2697795071	80.0587472343
16.0574502174	80.0166323339
16.0247959106	80
> Shore Bin # 75, Level 1
18.3676661326	80.012512398
18.4094758526	80.0006103609
18.3672846571	80.0150301366
18.3676661326	80.012512398
> Shore Bin # 75, Level 1
18.7223620966	80.3150225071
18.7775997559	80.3192187381
18.7223620966	80.3167009995
18.7223620966	80.3150225071
> Shore Bin # 75, Level 1
19.3324940871	80.1457999542
19.3972686351	80.1441214618
19.3321889067	80.1474784466
19.3324940871	80.1457999542
> Shore Bin # 75, Level 1
18.0673685817	80.042496376
18.1248187991	80.0212100404
18.0672922866	80.0450141146
18.0673685817	80.042496376
> Shore Bin # 75, Level 1
19.7471580072	80.617456321
19.8271152819	80.6141756313
19.7473868925	80.6233310445
19.7471580072	80.617456321
> Shore Bin # 75, Level 1
18.7826352331	80.2375066758
18.8574044404	80.2317082475
18.7826352331	80.2433051041
18.7826352331	80.2375066758
> Shore Bin # 75, Level 1
18.6409552148	80
18.6351567864	80.0096131838
18.6324864576	80
> Shore Bin # 76, Level 1
25	80.2391851682
24.7726405737	80.2417029068
24.8525978485	80.2674906538
24.8301670863	80.3463035019
24.7274738689	80.2816815442
24.6549172198	80.2704661631
24.6251621271	80.2863355459
24.4297703517	80.2437628748
24.4025329976	80.280842298
24.59235523	80.3141832609
24.4700541695	80.3512626841
24.2650492103	80.3579766537
24.124742504	80.3471427481
24.1147478447	80.3304341192
24.4025329976	80.3050278477
24.2676432441	80.3099870298
24.3524071107	80.2692454414
24.2499427787	80.2946517128
24.1601434348	80.2945754177
24.2325474937	80.2532997635
24.1799801633	80.2420843824
23.9600213626	80.2987716487
23.93728542	80.2658121614
24.0323491264	80.2491798276
23.8798352026	80.2629129473
23.8648813611	80.2462806134
23.8374151217	80.2700083925
23.7398336767	80.2787060349
23.7174792096	80.2491798276
23.8325322347	80.2282749676
23.7098496986	80.2287327382
23.7125200275	80.2117189288
23.8225375753	80.1758602274
23.677347982	80.1683070115
23.6475165942	80.1216144045
23.5647364004	80.1029221027
23.5124742504	80.1099412528
23.5474174105	80.1441977569
23.4147402152	80.193713283
23.3023575189	80.1816586557
23.4172579538	80.1174944686
23.3073929961	80.161669337
23.2050049592	80.1704432746
23.2500190738	80.1437399863
23.0674448768	80.1516746777
23.2022583352	80.1099412528
23.0746929122	80.1036850538
22.9925993744	80.1416037232
23.0273136492	80.2308690013
23.2423895628	80.2516212711
23.3374532692	80.3250171664
23.2848096437	80.3429465171
23.1499961852	80.347066453
23.2375066758	80.3675135424
23.1022354467	80.3808651865
23.2973983368	80.3891813535
23.3325703822	80.4208438239
23.2698558022	80.4462500954
23.0650797284	80.4512855726
22.7948424506	80.504539559
22.7074845502	80.4924849317
22.8374151217	80.395819028
22.6673533227	80.3408102541
22.7647821775	80.3112840467
22.6721599145	80.3157854582
22.6124971389	80.3433279927
